CaWO4_3CaCO3(40mg)_VL_260728
Température four	Temps	TG	
/°C	/s	/mg	
122.24	1273	-0.0557	
122.72	1275	-0.0565	
123.19	1278	-0.0567	
123.67	1280	-0.0563	
124.14	1283	-0.0561	
124.61	1285	-0.0567	
125.09	1288	-0.0567	
125.56	1290	-0.0563	
126.03	1293	-0.0562	
126.50	1295	-0.0566	
126.98	1298	-0.0565	
127.45	1300	-0.0564	
127.92	1303	-0.0567	
128.39	1305	-0.0567	
128.86	1308	-0.0568	
129.32	1310	-0.0565	
129.79	1313	-0.0568	
130.26	1315	-0.0569	
130.73	1318	-0.0570	
131.20	1320	-0.0569	
131.66	1323	-0.0571	
132.13	1325	-0.0575	
132.60	1328	-0.0573	
133.06	1330	-0.0571	
133.52	1333	-0.0575	
133.99	1335	-0.0577	
134.46	1338	-0.0573	
134.92	1340	-0.0572	
135.38	1343	-0.0579	
135.85	1345	-0.0580	
136.31	1348	-0.0578	
136.78	1350	-0.0576	
137.24	1353	-0.0582	
137.71	1355	-0.0583	
138.17	1358	-0.0578	
138.64	1360	-0.0576	
139.10	1363	-0.0583	
139.56	1365	-0.0585	
140.03	1368	-0.0580	
140.49	1370	-0.0580	
140.95	1373	-0.0584	
141.41	1375	-0.0587	
141.88	1378	-0.0582	
142.34	1380	-0.0583	
142.79	1383	-0.0586	
143.25	1385	-0.0588	
143.71	1388	-0.0584	
144.17	1390	-0.0587	
144.63	1393	-0.0590	
145.08	1395	-0.0587	
145.54	1398	-0.0586	
146.00	1400	-0.0590	
146.46	1403	-0.0590	
146.91	1405	-0.0589	
147.37	1408	-0.0587	
147.83	1410	-0.0593	
148.29	1413	-0.0593	
148.74	1415	-0.0589	
149.20	1418	-0.0589	
149.66	1420	-0.0592	
150.12	1423	-0.0595	
150.58	1425	-0.0591	
151.04	1428	-0.0589	
151.50	1430	-0.0595	
151.96	1433	-0.0597	
152.42	1435	-0.0593	
152.88	1438	-0.0593	
153.34	1440	-0.0597	
153.79	1443	-0.0598	
154.25	1445	-0.0593	
154.71	1448	-0.0592	
155.17	1450	-0.0599	
155.63	1453	-0.0599	
156.09	1455	-0.0597	
156.55	1458	-0.0595	
157.00	1460	-0.0599	
157.46	1463	-0.0600	
157.92	1465	-0.0596	
158.38	1468	-0.0599	
158.84	1470	-0.0602	
159.29	1473	-0.0600	
159.75	1475	-0.0599	
160.21	1478	-0.0601	
160.67	1480	-0.0605	
161.13	1483	-0.0602	
161.59	1485	-0.0599	
162.05	1488	-0.0604	
162.52	1490	-0.0606	
162.98	1493	-0.0602	
163.44	1495	-0.0599	
163.90	1498	-0.0604	
164.36	1500	-0.0608	
164.82	1503	-0.0603	
165.28	1505	-0.0602	
165.74	1508	-0.0608	
166.20	1510	-0.0611	
166.66	1513	-0.0607	
167.12	1515	-0.0603	
167.57	1518	-0.0609	
168.03	1520	-0.0610	
168.49	1523	-0.0605	
168.94	1525	-0.0606	
169.40	1528	-0.0613	
169.86	1530	-0.0612	
170.32	1533	-0.0608	
170.77	1535	-0.0608	
171.23	1538	-0.0613	
171.68	1540	-0.0610	
172.13	1543	-0.0608	
172.59	1545	-0.0609	
173.04	1548	-0.0613	
173.49	1550	-0.0614	
173.94	1553	-0.0612	
174.39	1555	-0.0612	
174.84	1558	-0.0613	
175.29	1560	-0.0611	
175.74	1563	-0.0610	
176.19	1565	-0.0614	
176.64	1568	-0.0616	
177.09	1570	-0.0614	
177.53	1573	-0.0613	
177.98	1575	-0.0616	
178.43	1578	-0.0619	
178.88	1580	-0.0616	
179.33	1583	-0.0613	
179.77	1585	-0.0618	
180.22	1588	-0.0620	
180.67	1590	-0.0616	
181.12	1593	-0.0614	
181.57	1595	-0.0620	
182.02	1598	-0.0620	
182.47	1600	-0.0617	
182.92	1603	-0.0616	
183.37	1605	-0.0619	
183.82	1608	-0.0622	
184.27	1610	-0.0620	
184.72	1613	-0.0619	
185.17	1615	-0.0623	
185.62	1618	-0.0625	
186.06	1620	-0.0621	
186.51	1623	-0.0621	
186.96	1625	-0.0625	
187.40	1628	-0.0624	
187.85	1630	-0.0621	
188.29	1633	-0.0621	
188.74	1635	-0.0623	
189.19	1638	-0.0625	
189.63	1640	-0.0623	
190.08	1643	-0.0624	
190.52	1645	-0.0629	
190.97	1648	-0.0627	
191.41	1650	-0.0624	
191.85	1653	-0.0625	
192.30	1655	-0.0628	
192.74	1658	-0.0627	
193.19	1660	-0.0623	
193.63	1663	-0.0628	
194.07	1665	-0.0630	
194.52	1668	-0.0627	
194.96	1670	-0.0625	
195.40	1673	-0.0629	
195.84	1675	-0.0633	
196.28	1678	-0.0628	
196.73	1680	-0.0627	
197.17	1683	-0.0632	
197.61	1685	-0.0635	
198.05	1688	-0.0630	
198.49	1690	-0.0630	
198.93	1693	-0.0635	
199.37	1695	-0.0636	
199.80	1698	-0.0630	
200.25	1700	-0.0630	
200.68	1703	-0.0636	
201.12	1705	-0.0636	
201.56	1708	-0.0631	
202.00	1710	-0.0632	
202.43	1713	-0.0636	
